inchi_key,rdkit_smiles,PIC50
QSQQQURBVYWZKJ-UHFFFAOYSA-N,CC(N)Cc1c[nH]c2ccccc12,5.041672831162827
SMANXXCATUTDDT-QPJJXVBHSA-N,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,6.930604712751279
PHLBKPHSAVXXEF-UHFFFAOYSA-N,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5.455931955649724
OBSYBRPAKCASQB-AGQYDFLVSA-N,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,5.0
PLDUPXSUYLZYBN-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,9.157408034541971
KYIGOCCCBXRHNJ-MXVIHJGJSA-N,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,8.74
REFJWTPEDVJJIY-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.0
LEZWWPYKPKIXLL-UHFFFAOYSA-N,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.369891281732017
YFKULYYWSYOHDZ-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCN(CCc2ccccc2)CC1,5.24
OVSQVDMCBVZWGM-DTGCRPNFSA-N,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.0
RYRTVXCXZPFWGO-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCN(Cc2ccccc2)CC1,5.42
VNSQNNPGGZXQAN-UHFFFAOYSA-N,Oc1nc2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,9.3
UDQMXYJSNNCRAS-UHFFFAOYSA-N,Clc1cccc(N2CCNCC2)c1Cl,6.4516514270429575
ZFZPJDFBJFHYIV-UHFFFAOYSA-N,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,9.30102999566398
UKXSKSHDVLQNKG-UHFFFAOYSA-N,O=C(O)C(O)(c1ccccc1)c1ccccc1,5.0
NKANXQFJJICGDU-QPLCGJKRSA-N,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.3315355499067625
UJCYUJOQBXHJFH-ZBKNUEDVSA-N,CN1CCN(C2=Cc3cc(Cl)ccc3/C(=C/C#N)c3ccccc32)CC1,7.400007822415903
WOWRXMYCLGLRFQ-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCO)CC1,6.03
HXGBXQDTNZMWGS-RUZDIDTESA-N,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,4.6
OBWGMKKHCLHVIE-UHFFFAOYSA-N,CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1,6.537052499560961
UTUFKUUIPTWXPH-UHFFFAOYSA-N,CCCCN1CCN(CCCN2C(=O)CCc3ccccc32)CC1,5.29
KRBNQAMCSOMKIU-UHFFFAOYSA-N,CCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,6.04
YCGXHEJETHPGPD-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(Cc2ccccc2)CC1,6.04
ZNAPADWWBWFMCQ-HNNXBMFYSA-N,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,4.0
PRYVZXFJJBFQRT-UHFFFAOYSA-N,CC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,5.35
QKTOQRPNKITPLN-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCO)CC1,5.93
WSPOMRSOLSGNFJ-VGOFMYFVSA-N,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,8.311647798881326
QHLGXPUIUKSADT-UHFFFAOYSA-N,CC(CF)NCC(O)COc1cccc2[nH]c3ccccc3c12,5.0
JOLJIIDDOBNFHW-UHFFFAOYSA-N,CCCCCCOc1nsnc1C1=CCCN(C)C1,6.0
CWPKTBMRVATCBL-UHFFFAOYSA-N,Cc1ccccc1CN1CCC(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CC1,5.4350000000000005
KKZJGLLVHKMTCM-UHFFFAOYSA-N,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,4.9
RKLNONIVDFXQRX-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,8.846381158477401
YTJBCMWEQPWTAA-UHFFFAOYSA-N,CCCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,6.28
FKIOAWWWCGUPIH-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(CCCO)CC1,6.18
VAIOZOCLKVMIMN-PRJWTAEASA-N,CN(C)CCO/N=C(/C=C/c1ccc(O)cc1)c1ccccc1F,5.0
JNNOSTQEZICQQP-UHFFFAOYSA-N,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,7.025304996677543
STECJAGHUSJQJN-UHFFFAOYSA-N,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,5.0
BYBLEWFAAKGYCD-UHFFFAOYSA-N,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.3800240965695085
PHMGZAICAOYEAF-UHFFFAOYSA-N,CCCCC1CCN(CCCN2C(=O)CCc3ccccc32)CC1,6.17
OJINAULTAMERKJ-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(CCc2ccccc2)CC1,6.54
OVSQVDMCBVZWGM-QSOFNFLRSA-N,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.0
CWPKTBMRVATCBL-UHFFFAOYSA-N,Cc1ccccc1CN1CCC(N2CCC(n3c(O)nc4ccccc43)CC2)CC1,5.58
CDAYEBKMDIJVNY-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(c2ccccc2)CC1,6.34
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,5.1790376840552845
YUSWMAULDXZHPY-UHFFFAOYSA-N,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,5.0
ABOBMBIQQPJTMJ-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1,5.96
ZBSSIYGXZQZYDM-UHFFFAOYSA-N,CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2C)CC1,5.35
VNSQNNPGGZXQAN-UHFFFAOYSA-N,O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1,9.300081137066377
OMUDHMBLKINCCX-XXBNENTESA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CC=NC(=O)C1,5.84
PPLSEYBUMZWQHS-OFNKIYASSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CCOCC1,6.125
LRMWMKQIJLOEPF-PGRDOPGGSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(F)cc3C(F)(F)F)C2)n1C,5.89
WEEBXSDEOQNZPK-NLFFAJNJSA-N,Cc1nc(C(N)=O)ccc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,5.8100000000000005
SBCYNHCFJBYRJY-UHFFFAOYSA-N,Cc1ncoc1-c1nnc(SCCCN2CC3CCN(c4ccccc4)C3C2)n1C,6.6000000000000005
QDBPUGDJXGIOJW-HFYIJGDASA-N,CC(=O)NC1CCC(c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)CC1,6.34
YBHILYKTIRIUTE-UHFFFAOYSA-N,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,7.95
BVXXXRLWEYNAGE-UHFFFAOYSA-N,Oc1nc2cc(F)ccc2n1C1CCN(C2CCN(Cc3ccccc3C(F)(F)F)CC2)CC1,5.57
BKVIWGRFRKLFIO-UHFFFAOYSA-N,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,6.0
KDMBMLINAPXLCW-UZLBHIALSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1csnn1,6.55
KTQASNDGWLUTPN-UHFFFAOYSA-N,Cc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,6.32
DBXZHGCWVRWCGN-UHFFFAOYSA-N,O=C1CCc2c(F)cccc2N1CCCN1CCC(n2c(O)nc3ccccc32)CC1,7.22185
DGRHJZMAQQIHDX-BWKNWUBXSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)cc1,6.41
RCRAYIPXTHUIJR-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1CN1CCC(N2CCC(n3c(O)nc4ccccc43)CC2)CC1,5.95
OEUUCWVHNBAMPM-UHFFFAOYSA-N,Cc1ncoc1-c1nnc(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)n1C,4.9
XUTJSHVGYIHURB-BWKNWUBXSA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccc(C(N)=O)c1,6.335
ZNAPADWWBWFMCQ-OAHLLOKOSA-N,Cn1cc(C(=O)C(=O)N[C@@H]2CN3CCC2CC3)c2ccccc21,4.0
SBDMNEFWICEEMT-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3cccnc32)CC1,5.901544993495972
VPQWKDKXRKHUGC-UHFFFAOYSA-N,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,7.797940008672037
AXDIUCNCCQGFAR-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(n2c(O)nc3ccccc32)CC1,8.02228
MNAFRWGRFIBAQX-GCJKJVERSA-N,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,6.776666666666666
AXDIUCNCCQGFAR-UHFFFAOYSA-N,O=C1CCc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,8.021138197355576
VOEUXHROHLFPEE-UHFFFAOYSA-N,Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,7.37
