compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.920818753952375,5.714378574719888,6.1191864077192095,5.585026652029182,5.657577319177793,5.0,5.0,6.413804185302332,,,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1
CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.560485883737964,,,,,,8.550947322885929,,,,CN(C1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
CSCCC(N)C(=O)[O-],5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,CSCCC(N)C(=O)[O-]
CN(c1ncccn1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.0,,,,,,7.121260719802788,,,,CN(c1ncccn1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
Nc1nc2c(c(N3CCNCC3)n1)CC=C1O[C@H]3CCCC[C@H]3C12,5.55,5.1,5.6,5.6,5.44,5.6,5.45,5.27,,5.6,Nc1nc2c(c(N3CCNCC3)n1)CC=C1O[C@H]3CCCC[C@H]3C12
C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,5.78,,5.87,5.78,5.25,,5.93,,,,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
C[C@@H](c1ccccn1)c1c(CCN2CCCC2)sc2ccccc12,8.238286003218533,,,,,,5.21467,,5.959535771613925,,C[C@@H](c1ccccn1)c1c(CCN2CCCC2)sc2ccccc12
CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,6.579997357520474,7.349992023764081,6.719995523445907,6.390000148078885,6.0999995174232655,,9.15994695277162,,,,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.0,,,,,,8.569318117920506,,5.139591518067731,,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
Cc1ccc(Cn2c(C3CNCCS3)nc3ccccc32)cc1,6.030505683815355,,,,,,8.498958315464877,,6.03,,Cc1ccc(Cn2c(C3CNCCS3)nc3ccccc32)cc1
COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,5.0,5.0,5.0,5.0,,6.068837570717098,5.0,6.0799588912364255,,5.1396910953414885,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4
