compound_id,target_DRD2_standard_value,target_CHRM2_standard_value,target_HTR2A_standard_value,target_OPRM1_standard_value
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,6.27,5.3429400000000005,,7.08
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.341672022343197,,,
COc1ccc(C(=O)CCCN2CCc3ccccc3C2)cc1,6.6,,5.595,
c1ccc(OCc2cc(OC[C@@H]3CCCN3)no2)cc1,4.5,,5.358651835728417,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(-c7cc(C)nn7C)nc6c5CC4)n3C)cccc2n1,6.399996913372259,,,
Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C(F)(F)F)oc6c(Br)c5CC4)n3C)cccc2n1,6.141672507150399,,,
COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C/c4ccccc4)CC3)[C@@H]1CO2,6.019393797609777,,6.0,
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCCc1nc2ccccc2s1,7.355,,,
CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.541671787226857,,,
COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,6.068837570717098,5.0,6.0799588912364255,5.1396910953414885
CN(CCCN1c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc(OCCCN2CCCCC2)cc1,7.389072047760089,,,
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,5.0,5.25,5.16292378423796,
N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.65,,6.15,5.83
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,8.412211343068893,5.567744459470804,9.771875,
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,5.0,5.0,,
N[C@@H](CCS(=O)(=O)O)C(=O)O,5.0,5.0,5.0,5.0
COCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.241672215099273,,,
CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,5.041672831162827,5.026714679641652,6.590038115643772,5.050898691329959
OC1(c2ccc(Cl)cc2)CC2CCC(C1)N2CCCCc1ccc(F)cc1,7.480743030061056,,6.499470368891124,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(C)(C)C)oc6c(C)c5CC4)n3C)cccc2n1,6.041672833866111,,,
Fc1ccc(CCCCN2CCCN(c3ccc(Cl)cc3)CC2)cc1,6.8589950665819694,,6.290724810555923,
Cc1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1,6.399996913372259,,,
O=C(CCCN1CCCN(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,7.362340701215545,,7.629029332343298,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(C)(F)F)oc6cc5CC4)n3C)cccc2n1,6.141672507150399,,,
CN1CCN2c3ncccc3Cc3ccccc3C2C1,5.4446602544532405,,7.160766969754247,
CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(Cl)cc3[C@H]2O1,8.229715996119285,,8.221232916538787,
Cc1nc2c3c(ccc2o1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.299997602857746,,,
COc1ccccc1N1CCN(Cc2cc(CN3CCOCC3)c3cccccc2-3)CC1,6.9887114700579325,,,
Clc1cncc(NCCCCN2CCN(c3ccccc3)CC2)n1,7.28,,6.87,
Cc1nc(C)c(-c2nnc(SCCCN3CCc4ccc5oc(C(F)(F)F)nc5c4CC3)n2C)s1,6.399996913372259,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)C(=O)N(C(C)C)C6)n3C)cccc2n1,5.841673129687213,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)sc6cc5CC4)n3C)cccc2n1,6.141672507150399,,,
O[C@@H](COC[C@@H]1CCCO1)CN1CCN(c2ccccc2F)CC1,5.11,,5.84,
CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccnc2)n1C)CC3,6.241672215099273,,,
c1ccc(OCc2cc(OC[C@@H]3CCN3)no2)cc1,4.47,,5.311160288639765,
NCC1c2ccccc2Cc2ccccc21,5.0,,7.699656668112006,
CCc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.399996913372259,,,
COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(F)cc2)CC1,5.0,,,5.0
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,5.0,5.0,,
O=C(CCCN1C2C3C4CC5C6C4C2C6C1(O)C53)c1ccc(F)cc1,5.761154246170435,,,
CNCCCN1c2ccccc2CCc2ccccc21,5.631264526293652,6.724031152317583,6.835590911784103,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(C)(F)F)oc6c5CC4)n3C)cccc2n1,6.0999990348465305,,,
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,5.4190093569650655,,,5.0
O=C(CCCN1CCc2ccccc2C1)c1ccc(F)cc1,7.31,,7.85,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(C)C)oc6cc5CC4)n3C)cccc2n1,5.941672297541938,,,
CN(C)CCOc1ccccc1Cc1ccccc1,5.561499812393204,,,
O=C(OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1)c1ccc(OCCCN2CCCCC2)cc1,7.329300714021428,,,
Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.975020700097923,5.0,6.402600599329055,5.0
COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,5.0,,5.0,5.0
Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C(F)(F)F)oc6c(C)c5CC4)n3C)cccc2n1,5.841673129687213,,,
c1ccc(Cc2ccccc2OCCCN2CCCC2)cc1,5.999134006426697,,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C)oc6c(Br)c5CC4)n3C)cccc2n1,6.241672215099273,,,
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.91,,8.309640093641601,
NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,5.0,5.0,5.0,5.0
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,6.350584373990983,,6.793174123968152,5.451115
C1=C(CCN2CCc3ccccc3C2)CCc2ccccc21,5.25,,6.01,
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6nc(C(F)(F)F)oc6c5CC4)n3C)cccc2n1,5.800000874803202,,,
